Id,EsSalida,X,Y,River,Reach,River Stat,Node Name,NomBBDD,nombre,unid,series_id,cero_escala,S_id_geom,S_id_hidro,x2,y2
1,1,5458517.12,6494592.26,Parana, ParanaAA,224000,Estacion Parana,Estacion Parana,Parana,29,29,9.432,29633,3408,5450470.15,6491238.169
2,1,5434113.256,6438268.222,Parana, ParanaAA,18.96,Estacion Diamante PVNyMM,Estacion Diamante PVNyMM,Diamante PVNyMM,1725,,6.763,29635,29634,,
2,1,5434113.256,6438268.222,Parana, ParanaAA,18.96,Estacion Diamante,Estacion Diamante,Diamante,31,31,6.747,29636,3409,5439266.757,6451997.618
3,1,5427940.559,6393912.45,Parana, 2b,237194.8,Timbues,Timbues,Timbues,1770,,0,29638,3389,,
4,1,5433028.28,6381429.8,Parana, 2b,223194.8,Estacion San Martin PVNyMM,Estacion San Martin PVNyMM,San Martin PVNyMM,1723,,3.625,29641,3411,5432023.025,6381458.072
4,1,5433028.28,6381429.8,Parana, 2b,223194.8,Estacion San Martin,Estacion San Martin,San Martin,33,,3.309,29640,29639,5431980.072,6378526.857
5,1,5442394.734,6352464.459,Parana, 2b,188533.7,Estacion Rosario PVNyMM,Estacion Rosario PVNyMM,Rosario PVNyMM,1722,,3.032,29645,29542,5442199.886,6352032.031
5,1,5442394.734,6352464.459,Parana, 2b,188533.7,Estacion Rosario,Estacion Rosario,Estacion Rosario,34,,2.923,29644,3412,5441009.726,6355333.296
5,1,5442394.734,6352464.459,Parana, 2b,188533.7,Estacion Rosario,Estacion Rosario,Rosario_rhn,5893,,2.923,29643,29642,,
6,1,5472964.211,6328119.934,Parana, 2b,143588.9,Estacion Villa Constitucion,Estacion Villa Constitucion,Villa Constitucion,35,,1.981,29646,3413,5471190.228,6323065.855
6,1,5472964.211,6328119.934,Parana, 2b,143588.9,Estacion Villa Constitucion,Estacion Villa Constitucion,VillaConstitucion_rhn,5905,,1.981,29647,29538,,
7,1,5481422.361,6315949.114,Parana,3,126030.6,Estacion San Nicolas,Estacion San Nicolas,San Nicolas,36,,1.954,29648,3414,5482356.762,6311271.813
8,1,5500543.283,6297007.654,Parana,3,94846.95,Estacion Ramallo,Estacion Ramallo,Ramallo,37,,1.642,29649,3415,5500399.67,6296196.656
9,1,5534392.242,6274013.513,Parana,3,44071.76,Estacion San Pedro,Estacion San Pedro,San Pedro,38,,0.714,29650,3416,5532483.797,6274351.172
10,1,5565649.348,6268445.215,Parana,4,498.7283,Estacion Bifurcacion,Estacion Bifurcacion,Bifurcacion,1717,,1.37,29651,3417,5565896.402,6268924.175
11,1,5480785.683,6388479.296,Victoria, Victoria,82.92,Victoria,Victoria,Victoria,32,,1.536,29652,3419,5479361.904,6386903.413
12,1,5546806.691,6260268.443,RioBaradero, RioBaradero, 29.092*,Rio Baradero,Rio Baradero,Rio Baradero,39,,0.641,29653,3418,5546300.717,6260376.643
13,1,5571153.789,6269898.369,Ibicuy, Ibicuy,7.16,Estacion Ibicuy,Estacion Ibicuy,Ibicuy,45,,0.456,29654,3420,5575961.779,6264404.323
14,1,5568526.899,6245075.539,Palmas,2,101864.4,Estacion Baradero,Estacion Baradero,Baradero,1714,,1.156,29655,3402,5568619.561,6245078.256
15,1,5574291.279,6242306.691,Palmas,3,94654.47,Atucha,Atucha,Atucha,151,,-0.556,29656,3403,,
16,1,5591180.488,6227698.194,Palmas,3,68418.45,Estacion Zarate,Estacion Zarate,Zarate,1713,,0.388,29658,29534,5591004.149,6227672.104
16,1,5591180.488,6227698.194,Palmas,3,68418.45,Estacion Zarate,Estacion Zarate,Zarate_rhn,5907,,0.388,29657,3404,,
17,1,5596591.909,6220815.975,Palmas,4,57113.41,Campana,Campana,Campana,41,,0.418,29659,3405,5596075.04,6220556.35
18,1,5602398.048,6217528.406,Palmas,4,49019.05,Estacion Las Rosas,Estacion Las Rosas,Las Rosas,1711,,0.03,29660,3406,5602383.73,6217381.556
